center_lat,center_lon,radius,num_airports,main_countries,community_id
34.08835927596408,-92.27341901644888,11.788837150656907,679,"['United States', 'Canada', 'Mexico']",3
46.09622939426509,10.93859220818357,8.521570516054535,570,"['France', 'United Kingdom', 'Turkey']",2
28.495439839102936,115.24822524444026,8.185231727482682,393,"['China', 'Japan', 'Philippines']",17
12.026747893747133,51.80227677987097,10.996584436954997,389,"['India', 'Iran', 'Saudi Arabia']",9
-15.382232590741342,105.53499335822197,73.43582549473209,369,"['Australia', 'Indonesia', 'Malaysia']",0
-14.483409084363988,-61.66476754787917,7.247135415418447,277,"['Brazil', 'Colombia', 'Argentina']",11
52.93240951843823,68.91823386710679,20.158432707649858,160,"['Russia', 'Kazakhstan', 'Uzbekistan']",13
62.219401533408224,-156.1743670876059,5.872568254756444,131,['United States'],18
55.291808427077996,-78.3114635932128,5.489576543283249,116,['Canada'],4
6.002755333870738,5.737612522779089,8.89831816017854,75,"['Nigeria', 'Congo (Kinshasa)', 'Ghana']",8
68.88744259189865,20.454213275423612,2.8884575912941926,24,['Norway'],12
66.22271244196335,-46.062503821551466,9.236325818241742,22,"['Greenland', 'Iceland']",1
67.89057279865689,-127.29524535668983,2.3945142243224313,10,['Canada'],6
-21.095160293579102,166.15970001220703,0.649011980580985,10,['New Caledonia'],16
59.23192923410123,-2.739999975476863,0.1021512074122119,7,['United Kingdom'],10
8.724821922002157,-80.38861122444662,0.7079789155414475,6,['Panama'],15
48.22009944915918,-122.93400192253125,0.2614942401994087,4,['United States'],19
53.29894267976513,-168.8444736721094,2.113615629675318,4,['United States'],20
-19.02032472076405,19.232275468200736,1.69060707394886,4,['Namibia'],7
31.49513308207194,34.92846552530924,0.6490420318748055,3,['Israel'],14
48.8596925777,-123.2499337195,1.7271017045521525e-15,2,['Canada'],21
70.61566592585,-22.3110896349,0.0,2,['Greenland'],5
