Season,Number of Flights (Edges),Average Flights per Airport,Network Density,Average Degree Centrality
Winter,37042,11.373042677310409,0.0034929492252181843,0.0069858984504363696
Spring,37042,11.373042677310409,0.0034929492252181843,0.0069858984504363696
Summer,37042,11.373042677310409,0.0034929492252181843,0.0069858984504363696
Fall,37042,11.373042677310409,0.0034929492252181843,0.0069858984504363696
